year,category,prize_amount,fullname,gender,birth_continent,birth_country
1917,Literature,133823,Karl Adolph Gjellerup,male,Europe,Denmark
1918,Chemistry,138198,Fritz Haber,male,Europe,Prussia
1918,Physics,138198,Max Karl Ernst Ludwig Planck,male,Europe,Schleswig
1919,Literature,133127,Carl Friedrich Georg Spitteler,male,Europe,Switzerland
1919,Physics,133127,Johannes Stark,male,Europe,Germany
1919,Physiology or Medicine,133127,Jules Bordet,male,Europe,Belgium
1919,Peace,133127,Thomas Woodrow Wilson,male,North America,USA
1920,Physiology or Medicine,134100,Schack August Steenberg Krogh,male,Europe,Denmark
1920,Physics,134100,Charles Edouard Guillaume,male,Europe,Switzerland
1920,Literature,134100,Knut Pedersen Hamsun,male,Europe,Norway
1920,Peace,134100,Léon Victor Auguste Bourgeois,male,Europe,France
1920,Chemistry,134100,Walther Hermann Nernst,male,Europe,Prussia
1921,Physics,121573,Albert Einstein,male,Europe,Germany
1921,Literature,121573,Anatole France,male,Europe,France
1921,Peace,121573,Christian Lous Lange,male,Europe,Norway
1921,Chemistry,121573,Frederick Soddy,male,Europe,United Kingdom
1921,Peace,121573,Karl Hjalmar Branting,male,Europe,Sweden
1922,Physiology or Medicine,122483,Archibald Vivian Hill,male,Europe,United Kingdom
1922,Chemistry,122483,Francis William Aston,male,Europe,United Kingdom
1922,Peace,122483,Fridtjof Nansen,male,Europe,Norway
1922,Literature,122483,Jacinto Benavente,male,Europe,Spain
1922,Physics,122483,Niels Henrik David Bohr,male,Europe,Denmark
1922,Physiology or Medicine,122483,Otto Fritz Meyerhof,male,Europe,Germany
1923,Physiology or Medicine,114935,Frederick Grant Banting,male,North America,Canada
1923,Chemistry,114935,Fritz Pregl,male,Europe,Austria-Hungary
1923,Physiology or Medicine,114935,John James Rickard Macleod,male,Europe,Scotland
1923,Physics,114935,Robert Andrews Millikan,male,North America,USA
1923,Literature,114935,William Butler Yeats,male,Europe,Ireland
1924,Physics,116719,Karl Manne Georg Siegbahn,male,Europe,Sweden
1924,Physiology or Medicine,116719,Willem Einthoven,male,Asia,"Java, Dutch East Indies"
1924,Literature,116719,Wladyslaw Stanislaw Reymont,male,Europe,Russian Empire
1925,Peace,118165,Charles Gates Dawes,male,North America,USA
1925,Literature,118165,George Bernard Shaw,male,Europe,Ireland
1925,Physics,118165,Gustav Ludwig Hertz,male,Europe,Germany
1925,Physics,118165,James Franck,male,Europe,Germany
1925,Chemistry,118165,Richard Adolf Zsigmondy,male,Europe,Austrian Empire
1925,Peace,118165,Sir Austen Chamberlain,male,Europe,United Kingdom
1926,Peace,116960,Aristide Briand,male,Europe,France
1926,Literature,116960,Grazia Deledda,female,Europe,Italy
1926,Peace,116960,Gustav Stresemann,male,Europe,Germany
1926,Physics,116960,Jean Baptiste Perrin,male,Europe,France
1926,Physiology or Medicine,116960,Johannes Andreas Grib Fibiger,male,Europe,Denmark
1926,Chemistry,116960,The (Theodor) Svedberg,male,Europe,Sweden
1927,Physics,126501,Arthur Holly Compton,male,North America,USA
1927,Physics,126501,Charles Thomson Rees Wilson,male,Europe,Scotland
1927,Peace,126501,Ferdinand Buisson,male,Europe,France
1927,Chemistry,126501,Heinrich Otto Wieland,male,Europe,Germany
1927,Literature,126501,Henri Bergson,male,Europe,France
1927,Physiology or Medicine,126501,Julius Wagner-Jauregg,male,Europe,Austria
1927,Peace,126501,Ludwig Quidde,male,Europe,Germany
1928,Chemistry,156939,Adolf Otto Reinhold Windaus,male,Europe,Germany
1928,Physiology or Medicine,156939,Charles Jules Henri Nicolle,male,Europe,France
1928,Physics,156939,Owen Willans Richardson,male,Europe,United Kingdom
1928,Literature,156939,Sigrid Undset,female,Europe,Denmark
1929,Chemistry,172760,Arthur Harden,male,Europe,United Kingdom
1929,Physiology or Medicine,172760,Christiaan Eijkman,male,Europe,the Netherlands
1929,Peace,172760,Frank Billings Kellogg,male,North America,USA
1929,Chemistry,172760,Hans Karl August Simon von Euler-Chelpin,male,Europe,Germany
1929,Physics,172760,Prince Louis-Victor Pierre Raymond de Broglie,male,Europe,France
1929,Physiology or Medicine,172760,Sir Frederick Gowland Hopkins,male,Europe,United Kingdom
1929,Literature,172760,Thomas Mann,male,Europe,Germany
1930,Chemistry,172947,Hans Fischer,male,Europe,Germany
1930,Physiology or Medicine,172947,Karl Landsteiner,male,Europe,Austrian Empire
1930,Peace,172947,Lars Olof Jonathan (Nathan) Söderblom,male,Europe,Sweden
1930,Literature,172947,Sinclair Lewis,male,North America,USA
1930,Physics,172947,Sir Chandrasekhara Venkata Raman,male,Asia,India
1931,Chemistry,173206,Carl Bosch,male,Europe,Germany
1931,Literature,173206,Erik Axel Karlfeldt,male,Europe,Sweden
1931,Chemistry,173206,Friedrich Bergius,male,Europe,Germany
1931,Peace,173206,Jane Addams,female,North America,USA
1931,Peace,173206,Nicholas Murray Butler,male,North America,USA
1931,Physiology or Medicine,173206,Otto Heinrich Warburg,male,Europe,Germany
1932,Physiology or Medicine,171753,Edgar Douglas Adrian,male,Europe,United Kingdom
1932,Chemistry,171753,Irving Langmuir,male,North America,USA
1932,Literature,171753,John Galsworthy,male,Europe,United Kingdom
1932,Physiology or Medicine,171753,Sir Charles Scott Sherrington,male,Europe,United Kingdom
1932,Physics,171753,Werner Karl Heisenberg,male,Europe,Germany
1933,Physics,170332,Erwin Schrödinger,male,Europe,Austria
1933,Literature,170332,Ivan Alekseyevich Bunin,male,Europe,Russia
1933,Physics,170332,Paul Adrien Maurice Dirac,male,Europe,United Kingdom
1933,Peace,170332,Sir Norman Angell (Ralph Lane),male,Europe,United Kingdom
1933,Physiology or Medicine,170332,Thomas Hunt Morgan,male,North America,USA
1934,Peace,162608,Arthur Henderson,male,Europe,Scotland
1934,Physiology or Medicine,162608,George Hoyt Whipple,male,North America,USA
1934,Physiology or Medicine,162608,George Richards Minot,male,North America,USA
1934,Chemistry,162608,Harold Clayton Urey,male,North America,USA
1934,Literature,162608,Luigi Pirandello,male,Europe,Italy
1934,Physiology or Medicine,162608,William Parry Murphy,male,North America,USA
1935,Peace,159917,Carl von Ossietzky,male,Europe,Germany
1935,Chemistry,159917,Frédéric Joliot,male,Europe,France
1935,Physiology or Medicine,159917,Hans Spemann,male,Europe,Württemberg
1935,Chemistry,159917,Irène Joliot-Curie,female,Europe,France
1935,Physics,159917,James Chadwick,male,Europe,United Kingdom
1936,Physics,159850,Carl David Anderson,male,North America,USA
1936,Peace,159850,Carlos Saavedra Lamas,male,South America,Argentina
1936,Literature,159850,Eugene Gladstone O'Neill,male,North America,USA
1936,Physiology or Medicine,159850,Otto Loewi,male,Europe,Germany
1936,Chemistry,159850,Petrus (Peter) Josephus Wilhelmus Debye,male,Europe,the Netherlands
1936,Physiology or Medicine,159850,Sir Henry Hallett Dale,male,Europe,United Kingdom
1936,Physics,159850,Victor Franz Hess,male,Europe,Austria
1937,Physiology or Medicine,158463,Albert von Szent-Györgyi Nagyrápolt,male,Europe,Austria-Hungary
1937,Physics,158463,Clinton Joseph Davisson,male,North America,USA
1937,Physics,158463,George Paget Thomson,male,Europe,United Kingdom
1937,Chemistry,158463,Walter Norman Haworth,male,Europe,United Kingdom
1937,Chemistry,158463,Paul Karrer,male,Europe,Russia
1937,Peace,158463,"Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood",male,Europe,United Kingdom
1937,Literature,158463,Roger Martin du Gard,male,Europe,France
1938,Physiology or Medicine,155077,Corneille Jean François Heymans,male,Europe,Belgium
1938,Physics,155077,Enrico Fermi,male,Europe,Italy
1938,Peace,155077,,,,
1938,Literature,155077,Pearl Buck,female,North America,USA
1938,Chemistry,155077,Richard Kuhn,male,Europe,Austria-Hungary
1939,Chemistry,148822,Adolf Friedrich Johann Butenandt,male,Europe,Germany
1939,Physics,148822,Ernest Orlando Lawrence,male,North America,USA
1939,Literature,148822,Frans Eemil Sillanpää,male,Europe,Russian Empire
1939,Physiology or Medicine,148822,Gerhard Domagk,male,Europe,Germany
1939,Chemistry,148822,Leopold Ruzicka,male,Europe,Austria-Hungary
1943,Physiology or Medicine,123691,Edward Adelbert Doisy,male,North America,USA
1943,Chemistry,123691,George de Hevesy,male,Europe,Austria-Hungary
1943,Physiology or Medicine,123691,Henrik Carl Peter Dam,male,Europe,Denmark
1943,Physics,123691,Otto Stern,male,Europe,Germany
1944,Physiology or Medicine,121841,Herbert Spencer Gasser,male,North America,USA
1944,Physics,121841,Isidor Isaac Rabi,male,Europe,Austria-Hungary
1944,Literature,121841,Johannes Vilhelm Jensen,male,Europe,Denmark
1944,Physiology or Medicine,121841,Joseph Erlanger,male,North America,USA
1944,Chemistry,121841,Otto Hahn,male,Europe,Germany
1944,Peace,121841,,,,
1945,Chemistry,121333,Artturi Ilmari Virtanen,male,Europe,Russian Empire
1945,Peace,121333,Cordell Hull,male,North America,USA
1945,Physiology or Medicine,121333,Ernst Boris Chain,male,Europe,Germany
1945,Literature,121333,Gabriela Mistral,female,South America,Chile
1945,Physiology or Medicine,121333,Sir Alexander Fleming,male,Europe,Scotland
1945,Physiology or Medicine,121333,Sir Howard Walter Florey,male,Oceania,Australia
1945,Physics,121333,Wolfgang Pauli,male,Europe,Austria
1946,Peace,121524,Emily Greene Balch,female,North America,USA
1946,Literature,121524,Hermann Hesse,male,Europe,Germany
1946,Physiology or Medicine,121524,Hermann Joseph Muller,male,North America,USA
1946,Chemistry,121524,James Batcheller Sumner,male,North America,USA
1946,Chemistry,121524,John Howard Northrop,male,North America,USA
1946,Peace,121524,John Raleigh Mott,male,North America,USA
1946,Physics,121524,Percy Williams Bridgman,male,North America,USA
1946,Chemistry,121524,Wendell Meredith Stanley,male,North America,USA
1947,Peace,146115,,,,
1947,Literature,146115,André Paul Guillaume Gide,male,Europe,France
1947,Physiology or Medicine,146115,Bernardo Alberto Houssay,male,South America,Argentina
1947,Physiology or Medicine,146115,Carl Ferdinand Cori,male,Europe,Austria-Hungary
1947,Physics,146115,Sir Edward Victor Appleton,male,Europe,United Kingdom
1947,Peace,146115,,,,
1947,Physiology or Medicine,146115,"Gerty Theresa Cori, née Radnitz",female,Europe,Austria-Hungary
1947,Chemistry,146115,Sir Robert Robinson,male,Europe,United Kingdom
1948,Chemistry,159773,Arne Wilhelm Kaurin Tiselius,male,Europe,Sweden
1948,Physics,159773,Patrick Maynard Stuart Blackett,male,Europe,United Kingdom
1948,Physiology or Medicine,159773,Paul Hermann Müller,male,Europe,Switzerland
1948,Literature,159773,Thomas Stearns Eliot,male,North America,USA
1949,Physiology or Medicine,156290,Antonio Caetano de Abreu Freire Egas Moniz,male,Europe,Portugal
1949,Physics,156290,Hideki Yukawa,male,Asia,Japan
1949,Peace,156290,"John Boyd Orr, Baron Boyd-Orr of Brechin Mearn",male,Europe,Scotland
1949,Physiology or Medicine,156290,Walter Rudolf Hess,male,Europe,Switzerland
1949,Chemistry,156290,William Francis Giauque,male,North America,Canada
1949,Literature,156290,William Faulkner,male,North America,USA
1950,Literature,164304,Earl (Bertrand Arthur William) Russell,male,Europe,United Kingdom
1950,Physics,164304,Cecil Frank Powell,male,Europe,United Kingdom
1950,Physiology or Medicine,164304,Edward Calvin Kendall,male,North America,USA
1950,Chemistry,164304,Kurt Alder,male,Europe,Prussia
1950,Chemistry,164304,Otto Paul Hermann Diels,male,Europe,Germany
1950,Physiology or Medicine,164304,Philip Showalter Hench,male,North America,USA
1950,Peace,164304,Ralph Bunche,male,North America,USA
1950,Physiology or Medicine,164304,Tadeus Reichstein,male,Europe,Poland
1951,Chemistry,167612,Edwin Mattison McMillan,male,North America,USA
1951,Physics,167612,Ernest Thomas Sinton Walton,male,Europe,Ireland
1951,Chemistry,167612,Glenn Theodore Seaborg,male,North America,USA
1951,Physics,167612,Sir John Douglas Cockcroft,male,Europe,United Kingdom
1951,Peace,167612,Léon Jouhaux,male,Europe,France
1951,Physiology or Medicine,167612,Max Theiler,male,Africa,South Africa
1951,Literature,167612,Pär Fabian Lagerkvist,male,Europe,Sweden
1952,Peace,171135,Albert Schweitzer,male,Europe,Germany
1952,Chemistry,171135,Archer John Porter Martin,male,Europe,United Kingdom
1952,Physics,171135,Edward Mills Purcell,male,North America,USA
1952,Physics,171135,Felix Bloch,male,Europe,Switzerland
1952,Literature,171135,François Mauriac,male,Europe,France
1952,Chemistry,171135,Richard Laurence Millington Synge,male,Europe,United Kingdom
1952,Physiology or Medicine,171135,Selman Abraham Waksman,male,Europe,Russian Empire
1953,Physics,175293,Frits Zernike,male,Europe,the Netherlands
1953,Physiology or Medicine,175293,Fritz Albert Lipmann,male,Europe,Germany
1953,Peace,175293,George Catlett Marshall,male,North America,USA
1953,Physiology or Medicine,175293,Hans Adolf Krebs,male,Europe,Germany
1953,Chemistry,175293,Hermann Staudinger,male,Europe,Germany
1953,Literature,175293,Sir Winston Leonard Spencer Churchill,male,Europe,United Kingdom
1954,Literature,181647,Ernest Miller Hemingway,male,North America,USA
1954,Physiology or Medicine,181647,Frederick Chapman Robbins,male,North America,USA
1954,Physiology or Medicine,181647,John Franklin Enders,male,North America,USA
1954,Physics,181647,Max Born,male,Europe,Germany
1954,Peace,181647,,,,
1954,Physiology or Medicine,181647,Thomas Huckle Weller,male,North America,USA
1954,Physics,181647,Walther Bothe,male,Europe,Germany
1954,Chemistry,181647,Linus Carl Pauling,male,North America,USA
1955,Literature,190214,Halldór Kiljan Laxness,male,Europe,Iceland
1955,Physiology or Medicine,190214,Axel Hugo Theodor Theorell,male,Europe,Sweden
1955,Physics,190214,Polykarp Kusch,male,Europe,Germany
1955,Chemistry,190214,Vincent du Vigneaud,male,North America,USA
1955,Physics,190214,Willis Eugene Lamb,male,North America,USA
1956,Physiology or Medicine,200123,André Frédéric Cournand,male,Europe,France
1956,Physiology or Medicine,200123,Dickinson W. Richards,male,North America,USA
1956,Physics,200123,John Bardeen,male,North America,USA
1956,Literature,200123,Juan Ramón Jiménez,male,Europe,Spain
1956,Chemistry,200123,Nikolay Nikolaevich Semenov,male,Europe,Russia
1956,Chemistry,200123,Sir Cyril Norman Hinshelwood,male,Europe,United Kingdom
1956,Physics,200123,Walter Houser Brattain,male,Asia,China
1956,Physiology or Medicine,200123,Werner Forssmann,male,Europe,Germany
1956,Physics,200123,William Bradford Shockley,male,Europe,United Kingdom
1957,Literature,208629,Albert Camus,male,Africa,French Algeria
1957,Physics,208629,Chen Ning Yang,male,Asia,China
1957,Physiology or Medicine,208629,Daniel Bovet,male,Europe,Switzerland
1957,Peace,208629,Lester Bowles Pearson,male,North America,Canada
1957,Chemistry,208629,Lord (Alexander R.) Todd,male,Europe,Scotland
1957,Physics,208629,Tsung-Dao (T.D.) Lee,male,Asia,China
1958,Literature,214559,Boris Leonidovich Pasternak,male,Europe,Russia
1958,Physiology or Medicine,214559,Edward Lawrie Tatum,male,North America,USA
1958,Chemistry,214559,Frederick Sanger,male,Europe,United Kingdom
1958,Physiology or Medicine,214559,George Wells Beadle,male,North America,USA
1958,Peace,214559,Georges Pire,male,Europe,Belgium
1958,Physics,214559,Igor Yevgenyevich Tamm,male,Europe,Russia
1958,Physics,214559,Il´ja Mikhailovich Frank,male,Europe,Russia
1958,Physiology or Medicine,214559,Joshua Lederberg,male,North America,USA
1958,Physics,214559,Pavel Alekseyevich Cherenkov,male,Europe,Russia
1959,Physiology or Medicine,220678,Arthur Kornberg,male,North America,USA
1959,Physics,220678,Emilio Gino Segrè,male,Europe,Italy
1959,Chemistry,220678,Jaroslav Heyrovsky,male,Europe,Austria-Hungary
1959,Physics,220678,Owen Chamberlain,male,North America,USA
1959,Peace,220678,Philip J. Noel-Baker,male,Europe,United Kingdom
1959,Literature,220678,Salvatore Quasimodo,male,Europe,Italy
1959,Physiology or Medicine,220678,Severo Ochoa,male,Europe,Spain
1960,Peace,225987,Albert John Luthuli,male,Africa,Southern Rhodesia
1960,Physics,225987,Donald Arthur Glaser,male,North America,USA
1960,Physiology or Medicine,225987,Peter Brian Medawar,male,South America,Brazil
1960,Literature,225987,Saint-John Perse,male,North America,Guadeloupe Island
1960,Physiology or Medicine,225987,Sir Frank Macfarlane Burnet,male,Oceania,Australia
1960,Chemistry,225987,Willard Frank Libby,male,North America,USA
1961,Peace,250233,Dag Hjalmar Agne Carl Hammarskjöld,male,Europe,Sweden
1961,Physiology or Medicine,250233,Georg von Békésy,male,Europe,Hungary
1961,Literature,250233,Ivo Andric,male,Europe,Bosnia
1961,Chemistry,250233,Melvin Calvin,male,North America,USA
1961,Physics,250233,Robert Hofstadter,male,North America,USA
1961,Physics,250233,Rudolf Ludwig Mössbauer,male,Europe,Germany
1962,Physiology or Medicine,257220,Francis Harry Compton Crick,male,Europe,United Kingdom
1962,Physiology or Medicine,257220,James Dewey Watson,male,North America,USA
1962,Chemistry,257220,John Cowdery Kendrew,male,Europe,United Kingdom
1962,Literature,257220,John Steinbeck,male,North America,USA
1962,Physics,257220,Lev Davidovich Landau,male,Asia,Russian Empire
1962,Peace,257220,Linus Carl Pauling,male,North America,USA
1962,Physiology or Medicine,257220,Maurice Hugh Frederick Wilkins,male,Oceania,New Zealand
1962,Chemistry,257220,Max Ferdinand Perutz,male,Europe,Austria
1963,Physiology or Medicine,265000,Alan Lloyd Hodgkin,male,Europe,United Kingdom
1963,Physiology or Medicine,265000,Andrew Fielding Huxley,male,Europe,United Kingdom
1963,Physics,265000,Eugene Paul Wigner,male,Europe,Austria-Hungary
1963,Literature,265000,Giorgos Seferis,male,Asia,Ottoman Empire
1963,Chemistry,265000,Giulio Natta,male,Europe,Italy
1963,Physics,265000,J. Hans D. Jensen,male,Europe,Germany
1963,Chemistry,265000,Karl Ziegler,male,Europe,Germany
1963,Peace,265000,,,,
1963,Physics,265000,Maria Goeppert Mayer,female,Europe,Germany
1963,Physiology or Medicine,265000,Sir John Carew Eccles,male,Oceania,Australia
1963,Peace,265000,,,,
1964,Physics,273000,Aleksandr Mikhailovich Prokhorov,male,Oceania,Australia
1964,Physics,273000,Charles Hard Townes,male,North America,USA
1964,Chemistry,273000,Dorothy Crowfoot Hodgkin,female,Africa,Egypt
1964,Physiology or Medicine,273000,Feodor Lynen,male,Europe,Germany
1964,Literature,273000,Jean-Paul Sartre,male,Europe,France
1964,Physiology or Medicine,273000,Konrad Bloch,male,Europe,Germany
1964,Peace,273000,Martin Luther King Jr.,male,North America,USA
1964,Physics,273000,Nicolay Gennadiyevich Basov,male,Europe,USSR
1965,Physiology or Medicine,282000,André Lwoff,male,Europe,France
1965,Physiology or Medicine,282000,François Jacob,male,Europe,France
1965,Physiology or Medicine,282000,Jacques Monod,male,Europe,France
1965,Physics,282000,Julian Schwinger,male,North America,USA
1965,Literature,282000,Mikhail Aleksandrovich Sholokhov,male,Europe,Russia
1965,Physics,282000,Richard P. Feynman,male,North America,USA
1965,Chemistry,282000,Robert Burns Woodward,male,North America,USA
1965,Physics,282000,Sin-Itiro Tomonaga,male,Asia,Japan
1965,Peace,282000,,,,
1966,Physics,300000,Alfred Kastler,male,Europe,Germany
1966,Physiology or Medicine,300000,Charles Brenton Huggins,male,North America,Canada
1966,Literature,300000,Nelly Sachs,female,Europe,Germany
1966,Physiology or Medicine,300000,Peyton Rous,male,North America,USA
1966,Chemistry,300000,Robert S. Mulliken,male,North America,USA
1966,Literature,300000,Shmuel Yosef Agnon,male,Europe,Austria-Hungary
1967,Chemistry,320000,George Porter,male,Europe,United Kingdom
1967,Physiology or Medicine,320000,George Wald,male,North America,USA
1967,Physics,320000,Hans Albrecht Bethe,male,Europe,Germany
1967,Physiology or Medicine,320000,Haldan Keffer Hartline,male,North America,USA
1967,Chemistry,320000,Manfred Eigen,male,Europe,Germany
1967,Literature,320000,Miguel Angel Asturias,male,North America,Guatemala
1967,Physiology or Medicine,320000,Ragnar Granit,male,Europe,Russian Empire
1967,Chemistry,320000,Ronald George Wreyford Norrish,male,Europe,United Kingdom
1968,Physiology or Medicine,350000,Har Gobind Khorana,male,Asia,India
1968,Chemistry,350000,Lars Onsager,male,Europe,Norway
1968,Physics,350000,Luis Walter Alvarez,male,North America,USA
1968,Physiology or Medicine,350000,Marshall W. Nirenberg,male,North America,USA
1968,Peace,350000,René Cassin,male,Europe,France
1968,Physiology or Medicine,350000,Robert W. Holley,male,North America,USA
1968,Literature,350000,Yasunari Kawabata,male,Asia,Japan
1969,Physiology or Medicine,375000,Alfred D. Hershey,male,North America,USA
1969,Chemistry,375000,Derek H. R. Barton,male,Europe,United Kingdom
1969,Peace,375000,,,,
1969,Economic Sciences,375000,Jan Tinbergen,male,Europe,the Netherlands
1969,Physiology or Medicine,375000,Max Delbrück,male,Europe,Germany
1969,Physics,375000,Murray Gell-Mann,male,North America,USA
1969,Chemistry,375000,Odd Hassel,male,Europe,Norway
1969,Economic Sciences,375000,Ragnar Frisch,male,Europe,Norway
1969,Physiology or Medicine,375000,Salvador E. Luria,male,Europe,Italy
1969,Literature,375000,Samuel Beckett,male,Europe,Ireland
1970,Literature,400000,Aleksandr Isayevich Solzhenitsyn,male,Europe,Russia
1970,Physics,400000,Hannes Olof Gösta Alfvén,male,Europe,Sweden
1970,Physiology or Medicine,400000,Julius Axelrod,male,North America,USA
1970,Physics,400000,Louis Eugène Félix Néel,male,Europe,France
1970,Chemistry,400000,Luis F. Leloir,male,Europe,France
1970,Peace,400000,Norman Ernest Borlaug,male,North America,USA
1970,Economic Sciences,400000,Paul A. Samuelson,male,North America,USA
1970,Physiology or Medicine,400000,Sir Bernard Katz,male,Europe,Germany
1970,Physiology or Medicine,400000,Ulf von Euler,male,Europe,Sweden
